Data Check  ·  25 Aug 2026  ·  history checks: all rows; cross-source: yieldz protocol data + on-chain reads,,,,,,,,,,,
Tab,Farm,Chain,Protocol,APY Now,7d,Verdict,Cross-Source APY,Source,Flags,Risk,Risk Basis
ETH Farms,AMMVWETH,Ethereum,Lagoon,16.97719,13.46865,CAUTION,16.795,on-chain (7d realized),SPIKE(30d avg 4.2),Med-Low (7.1),"score 7.1; strategy book leg 7.1 (Morpho Market - ~WETH 6.5†@38%, Morpho Market - ~wstETH 6.5†@30%, Compound v3 - WE~WETH 8.5†@28%, Aave v3 - Supply~Aave 8.0†@3%, Uniswap2 - USDC/~USDC 7.0†@1%)"
USD Farms,0.01%,Avalanche,Uniswap V3,15.836,12.60001,CAUTION,,,SPIKE(30d avg 4.5),Med-Low (6.1),"score 6.1; USDT 7.1 (credora 8.4, pharos 6.0, tid 7.0); USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); worst leg: USDT; -1 tvl<1M"
USD Farms,0.3%,Arbitrum,Uniswap V3,15.39788,8.27526,CAUTION,,,SPIKE(30d avg 4.3),High (3.0),"score 3.0; USDT 7.1 (credora 8.4, pharos 6.0, tid 7.0); RAIN unrated 3.0; worst leg: RAIN"
USD Farms,CL1 - 0.0009%,Base,Aerodrome Slipstream,14.43495,12.1888,CAUTION,,,REWARD-HEAVY(emissions 14.4 of 14.4 unverified),Med-Low (7.1),"score 7.1; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); USDT 7.1 (credora 8.4, pharos 6.0, tid 7.0); worst leg: USDT"
USD Farms,evaUSDC/evaUSDT,Ethereum,Convex Finance,12.47044,12.47735,CAUTION,,,REWARD-HEAVY(emissions 12.5 of 12.5 unverified),Med-High,unrated: internal signals only
ETH Farms,0.01%,Base,Uniswap V4,12.41873,,CAUTION,,,NEW(6d history),Med-Low (7.3),score 7.3; ETH 9.0 (credora 9.0); CBETH 8.3*; worst leg: CBETH; -1 tvl<1M
USD Farms,3pool,Monad,Curve DEX,12.02671,12.03487,CAUTION,,,REWARD-HEAVY(emissions 12.0 of 12.0 unverified),Med-Low (6.1),"score 6.1; AUSD 6.1 (pharos 6.3, tid 6.0); USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); USDT 7.1 (credora 8.4, pharos 6.0, tid 7.0); worst leg: AUSD"
USD Farms,R25 Treasury Vault,Sui,Ember Protocol,12,12,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (5.9),"score 5.9; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); -2 self-reported; capped 5.9: allocation not visible"
USD Farms,Curve,Ethereum,Stake DAO,11.84293,10.00912,CAUTION,,,REWARD-HEAVY(emissions 11.6 of 11.8 unverified),High (2.0),"score 2.0; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); LFRAX unrated 3.0; worst leg: LFRAX; -1 tvl<1M"
USD Farms,Curve Lend – fxSAVE collateral,Ethereum,Convex Finance,11.76453,11.40579,CAUTION,,,REWARD-HEAVY(emissions 10.1 of 11.8 unverified),Med-High (4.8),"score 4.8; CRVUSD 5.8 (pharos 7.3, tid 4.5); -1 tvl<1M"
USD Farms,Stable AMM - msUSD/USDC,Base,Aerodrome V1,11.50747,11.20406,CAUTION,,,REWARD-HEAVY(emissions 11.5 of 11.5 unverified),High (1.6),"score 1.6; MSUSD 1.6 (pharos 1.6); USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); worst leg: MSUSD"
